AFRINIC Allocated Address Table
-------------------------------

Origin AS       Network
  8452          41.32.111.0/24
  8452          41.32.113.0/24
  8452          41.32.116.0/24
  8452          41.32.117.0/24
  8452          41.32.118.0/24
  8452          41.32.119.0/24
  8452          41.32.122.0/24
  8452          41.32.125.0/24
  8452          41.32.126.0/24
  8452          41.32.128.0/24
  8452          41.32.129.0/24
  8452          41.32.130.0/24
  8452          41.32.131.0/24
  8452          41.32.134.0/24
  8452          41.32.135.0/24
  8452          41.32.139.0/24
  8452          41.32.140.0/24
  8452          41.32.141.0/24
  8452          41.32.143.0/24
  8452          41.32.144.0/24
  8452          41.32.146.0/24
  8452          41.32.148.0/24
  8452          41.32.149.0/24
  8452          41.32.151.0/24
  8452          41.32.153.0/24
  8452          41.32.154.0/24
  8452          41.32.156.0/24
  8452          41.32.157.0/24
  8452          41.32.158.0/24
  8452          41.32.159.0/24
  8452          41.32.161.0/24
  8452          41.32.162.0/24
  8452          41.32.166.0/24
  8452          41.32.170.0/24
  8452          41.32.171.0/24
  8452          41.32.173.0/24
  8452          41.32.174.0/24
  8452          41.32.177.0/24
  8452          41.32.178.0/24
  8452          41.32.183.0/24
  8452          41.32.187.0/24
  8452          41.32.189.0/24
  8452          41.32.191.0/24
  8452          41.32.192.0/24
  8452          41.32.193.0/24
  8452          41.32.194.0/24
  8452          41.32.196.0/24
  8452          41.32.199.0/24
  8452          41.32.200.0/24
  8452          41.32.201.0/24
  8452          41.32.202.0/24
  8452          41.32.203.0/24
  8452          41.32.205.0/24
  8452          41.33.0.0/17
  8452          41.33.128.0/17
  8452          41.33.146.0/24
  8452          41.33.239.0/24
  8452          41.34.0.0/18
  8452          41.34.64.0/22
  8452          41.34.68.0/22
  8452          41.34.72.0/21
  8452          41.34.88.0/21
  8452          41.34.96.0/19
  8452          41.34.128.0/20
  8452          41.34.144.0/21
  8452          41.34.152.0/22
  8452          41.34.156.0/22
  8452          41.34.168.0/21
  8452          41.34.176.0/20
  8452          41.34.192.0/18
  8452          41.35.0.0/19
  8452          41.35.32.0/20
  8452          41.35.48.0/20
  8452          41.35.64.0/18
  8452          41.35.128.0/18
  8452          41.35.192.0/20
  8452          41.35.224.0/21
  8452          41.35.232.0/22
  8452          41.35.236.0/22
  8452          41.35.240.0/21
  8452          41.35.248.0/21
  8452          41.36.0.0/19
  8452          41.36.32.0/20
  8452          41.36.48.0/20
  8452          41.36.64.0/19
  8452          41.36.80.0/20
  8452          41.36.96.0/21
  8452          41.36.104.0/21
  8452          41.36.112.0/20
  8452          41.36.128.0/18
  8452          41.36.214.0/23
  8452          41.36.216.0/22
  8452          41.36.248.0/22
  8452          41.36.252.0/22
  8452          41.37.0.0/18
  8452          41.37.64.0/19
  8452          41.37.96.0/20
  8452          41.37.112.0/20
  8452          41.37.128.0/21
  8452          41.37.136.0/21
  8452          41.37.144.0/21
  8452          41.37.160.0/21
  8452          41.37.176.0/20
  8452          41.37.192.0/18
  8452          41.38.0.0/16
  8452          41.38.0.0/24
  8452          41.38.2.0/24
  8452          41.38.3.0/24
  8452          41.38.4.0/24
  8452          41.38.6.0/24
  8452          41.38.8.0/24
  8452          41.38.13.0/24
  8452          41.38.16.0/24
  8452          41.38.17.0/24
  8452          41.38.19.0/24
  8452          41.38.21.0/24
  8452          41.38.23.0/24
  8452          41.38.24.0/24
  8452          41.38.32.0/24
  8452          41.38.33.0/24
  8452          41.38.34.0/24
  8452          41.38.36.0/24
  8452          41.38.37.0/24
  8452          41.38.39.0/24
  8452          41.38.42.0/24
  8452          41.38.43.0/24
  8452          41.38.47.0/24
  8452          41.38.48.0/24
  8452          41.38.49.0/24
  8452          41.38.50.0/24
  8452          41.38.51.0/24
  8452          41.38.52.0/24
  8452          41.38.53.0/24
  8452          41.38.54.0/24
  8452          41.38.57.0/24
  8452          41.38.58.0/24
  8452          41.38.60.0/24
  8452          41.38.61.0/24
  8452          41.38.64.0/24
  8452          41.38.65.0/24
  8452          41.38.68.0/24
  8452          41.38.69.0/24
  8452          41.38.71.0/24
  8452          41.38.72.0/24
  8452          41.38.75.0/24
  8452          41.38.77.0/24
  8452          41.38.79.0/24
  8452          41.38.80.0/24
  8452          41.38.81.0/24
  8452          41.38.83.0/24
  8452          41.38.84.0/24
  8452          41.38.86.0/24
  8452          41.38.88.0/24
  8452          41.38.89.0/24
  8452          41.38.90.0/24
  8452          41.38.91.0/24
  8452          41.38.92.0/24
  8452          41.38.93.0/24
  8452          41.38.94.0/24
  8452          41.38.95.0/24
  8452          41.38.98.0/24
  8452          41.38.100.0/24
  8452          41.38.103.0/24
  8452          41.38.105.0/24
  8452          41.38.108.0/24
  8452          41.38.110.0/24
  8452          41.38.117.0/24
  8452          41.38.118.0/24
  8452          41.38.120.0/24
  8452          41.38.121.0/24
  8452          41.38.122.0/24
  8452          41.38.123.0/24
  8452          41.38.126.0/24
  8452          41.38.130.0/24
  8452          41.38.134.0/24
  8452          41.38.135.0/24
  8452          41.38.136.0/24
  8452          41.38.138.0/24
  8452          41.38.139.0/24
  8452          41.38.142.0/24
  8452          41.38.143.0/24
  8452          41.38.144.0/24
  8452          41.38.146.0/24
  8452          41.38.147.0/24
  8452          41.38.149.0/24
  8452          41.38.150.0/24
  8452          41.38.152.0/24
  8452          41.38.153.0/24
  8452          41.38.155.0/24
  8452          41.38.158.0/24
  8452          41.38.159.0/24
  8452          41.38.160.0/24
  8452          41.38.161.0/24
  8452          41.38.162.0/24
  8452          41.38.165.0/24
  8452          41.38.167.0/24
  8452          41.38.169.0/24
  8452          41.38.170.0/24
  8452          41.38.171.0/24
  8452          41.38.172.0/24
  8452          41.38.173.0/24
  8452          41.38.175.0/24
  8452          41.38.176.0/24
  8452          41.38.177.0/24
  8452          41.38.178.0/24
  8452          41.38.180.0/24
  8452          41.38.181.0/24
  8452          41.38.182.0/24
  8452          41.38.185.0/24
  8452          41.38.187.0/24
  8452          41.38.189.0/24
  8452          41.38.191.0/24
  8452          41.38.192.0/24
  8452          41.38.194.0/24
  8452          41.38.197.0/24
  8452          41.38.199.0/24
  8452          41.38.200.0/24
  8452          41.38.201.0/24
  8452          41.38.202.0/24
  8452          41.38.204.0/24
  8452          41.38.205.0/24
  8452          41.38.208.0/24
  8452          41.38.209.0/24
  8452          41.38.210.0/24
  8452          41.38.211.0/24
  8452          41.38.213.0/24
  8452          41.38.215.0/24
  8452          41.38.216.0/24
  8452          41.38.217.0/24
  8452          41.38.219.0/24
  8452          41.38.220.0/24
  8452          41.38.221.0/24
  8452          41.38.223.0/24
  8452          41.38.225.0/24
  8452          41.38.228.0/24
  8452          41.38.229.0/24
  8452          41.38.231.0/24
  8452          41.38.233.0/24
  8452          41.38.236.0/24
  8452          41.38.238.0/24
  8452          41.38.241.0/24
  8452          41.38.243.0/24
  8452          41.38.244.0/24
  8452          41.38.246.0/24
  8452          41.38.250.0/24
  8452          41.38.251.0/24
  8452          41.38.252.0/24
  8452          41.38.253.0/24
  8452          41.38.255.0/24
  8452          41.39.0.0/16
  8452          41.39.2.0/24
  8452          41.41.0.0/16
  8452          41.41.1.0/24
  8452          41.41.5.0/24
  8452          41.41.7.0/24
  8452          41.41.9.0/24
  8452          41.41.12.0/24
  8452          41.41.13.0/24
  8452          41.41.17.0/24
  8452          41.41.18.0/24
  8452          41.41.19.0/24
  8452          41.41.21.0/24
  8452          41.41.22.0/24
  8452          41.41.23.0/24
  8452          41.41.24.0/24
  8452          41.41.26.0/24
  8452          41.41.27.0/24
  8452          41.41.28.0/24
  8452          41.41.29.0/24
  8452          41.41.31.0/24
  8452          41.41.34.0/24
  8452          41.41.35.0/24
  8452          41.41.37.0/24
  8452          41.41.38.0/24
  8452          41.41.39.0/24
  8452          41.41.40.0/24
  8452          41.41.41.0/24
  8452          41.41.44.0/24
  8452          41.41.54.0/24
  8452          41.41.56.0/24
  8452          41.41.57.0/24
  8452          41.41.58.0/24
  8452          41.41.59.0/24
  8452          41.41.60.0/24
  8452          41.41.62.0/24
  8452          41.41.63.0/24
  8452          41.41.64.0/24
  8452          41.41.69.0/24
  8452          41.41.70.0/24
  8452          41.41.71.0/24
  8452          41.41.74.0/24
  8452          41.41.75.0/24
  8452          41.41.76.0/24
  8452          41.41.78.0/24
  8452          41.41.79.0/24
  8452          41.41.80.0/24
  8452          41.41.81.0/24
  8452          41.41.86.0/24
  8452          41.41.87.0/24
  8452          41.41.89.0/24
  8452          41.41.91.0/24
  8452          41.41.92.0/24
  8452          41.41.96.0/24
  8452          41.41.97.0/24
  8452          41.41.100.0/24
  8452          41.41.101.0/24
  8452          41.41.103.0/24
  8452          41.41.105.0/24
  8452          41.41.107.0/24
  8452          41.41.108.0/24
  8452          41.41.110.0/24
  8452          41.41.114.0/24
  8452          41.41.116.0/24
  8452          41.41.117.0/24
  8452          41.41.119.0/24
  8452          41.41.130.0/24
  8452          41.41.131.0/24
  8452          41.41.133.0/24
  8452          41.41.138.0/24
  8452          41.41.139.0/24
  8452          41.41.140.0/24
  8452          41.41.144.0/24
  8452          41.41.145.0/24
  8452          41.41.146.0/24
  8452          41.41.147.0/24
  8452          41.41.148.0/24
  8452          41.41.150.0/24
  8452          41.41.151.0/24
  8452          41.41.152.0/24
  8452          41.41.153.0/24
  8452          41.41.155.0/24
  8452          41.41.159.0/24
  8452          41.41.161.0/24
  8452          41.41.162.0/24
  8452          41.41.164.0/24
  8452          41.41.166.0/24
  8452          41.41.170.0/24
  8452          41.41.172.0/24
  8452          41.41.174.0/24
  8452          41.41.175.0/24
  8452          41.41.177.0/24
  8452          41.41.178.0/24
  8452          41.41.183.0/24
  8452          41.41.185.0/24
  8452          41.41.187.0/24
  8452          41.41.188.0/24
  8452          41.41.189.0/24
  8452          41.41.193.0/24
  8452          41.41.194.0/24
  8452          41.41.195.0/24
  8452          41.41.197.0/24
  8452          41.41.198.0/24
  8452          41.41.199.0/24
  8452          41.41.201.0/24
  8452          41.41.203.0/24
  8452          41.41.204.0/24
  8452          41.41.205.0/24
  8452          41.41.207.0/24
  8452          41.41.208.0/24
  8452          41.41.209.0/24
  8452          41.41.212.0/24
  8452          41.41.213.0/24
  8452          41.41.214.0/24
  8452          41.41.215.0/24
  8452          41.41.216.0/24
  8452          41.41.218.0/24
  8452          41.41.220.0/24
  8452          41.41.221.0/24
  8452          41.41.222.0/24
  8452          41.41.225.0/24
  8452          41.41.227.0/24
  8452          41.41.229.0/24
  8452          41.41.231.0/24
  8452          41.41.233.0/24
  8452          41.41.234.0/24
  8452          41.41.235.0/24
  8452          41.41.236.0/24
  8452          41.41.237.0/24
  8452          41.41.239.0/24
  8452          41.41.240.0/24
  8452          41.41.241.0/24
  8452          41.41.243.0/24
  8452          41.41.244.0/24
  8452          41.41.247.0/24
  8452          41.41.248.0/24
  8452          41.41.250.0/24
  8452          41.41.251.0/24
  8452          41.41.252.0/24
  8452          41.41.253.0/24
  8452          41.41.255.0/24
  8452          41.42.0.0/18
  8452          41.42.64.0/21
  8452          41.42.76.0/22
  8452          41.42.80.0/20
  8452          41.42.96.0/20
  8452          41.42.112.0/20
  8452          41.42.128.0/19
  8452          41.42.160.0/19
  8452          41.42.192.0/18
  8452          41.43.4.0/24
  8452          41.43.5.0/24
  8452          41.43.6.0/24
  8452          41.43.7.0/24
  8452          41.43.8.0/22
  8452          41.43.8.0/24
  8452          41.43.12.0/24
  8452          41.43.13.0/24
  8452          41.43.14.0/24
  8452          41.43.15.0/24
  8452          41.43.16.0/24
  8452          41.43.19.0/24
  8452          41.43.20.0/24
  8452          41.43.21.0/24
  8452          41.43.22.0/24
  8452          41.43.23.0/24
  8452          41.43.24.0/24
  8452          41.43.27.0/24
  8452          41.43.28.0/24
  8452          41.43.29.0/24
  8452          41.43.30.0/24
  8452          41.43.31.0/24
  8452          41.43.32.0/21
  8452          41.43.40.0/21
  8452          41.43.48.0/20
  8452          41.43.64.0/19
  8452          41.43.96.0/20
  8452          41.43.144.0/20
  8452          41.43.160.0/21
  8452          41.43.168.0/21
  8452          41.43.180.0/22
  8452          41.43.188.0/22
  8452          41.43.192.0/18
  8452          41.44.0.0/22
  8452          41.44.4.0/22
  8452          41.44.8.0/22
  8452          41.44.12.0/22
  8452          41.44.16.0/20
  8452          41.44.32.0/19
  8452          41.44.64.0/18
  8452          41.44.128.0/20
  8452          41.44.148.0/22
  8452          41.44.152.0/21
  8452          41.44.160.0/19
  8452          41.44.192.0/18
  8452          41.45.0.0/17
  8452          41.45.128.0/22
  8452          41.45.136.0/23
  8452          41.45.140.0/22
  8452          41.45.144.0/23
  8452          41.45.146.0/23
  8452          41.45.152.0/22
  8452          41.45.156.0/24
  8452          41.45.157.0/24
  8452          41.45.160.0/22
  8452          41.45.164.0/22
  8452          41.45.168.0/22
  8452          41.45.172.0/22
  8452          41.45.192.0/19
  8452          41.45.224.0/20
  8452          41.46.0.0/19
  8452          41.46.32.0/22
  8452          41.46.40.0/21
  8452          41.46.49.0/24
  8452          41.46.50.0/23
  8452          41.46.52.0/24
  8452          41.46.56.0/22
  8452          41.46.64.0/21
  8452          41.46.72.0/22
  8452          41.46.76.0/22
  8452          41.46.96.0/21
  8452          41.46.104.0/22
  8452          41.46.108.0/22
  8452          41.46.128.0/18
  8452          41.46.224.0/22
  8452          41.46.228.0/23
  8452          41.46.230.0/23
  8452          41.46.232.0/22
  8452          41.46.240.0/21
  8452          41.46.248.0/21
  8452          41.47.0.0/19
  8452          41.47.32.0/20
  8452          41.47.48.0/20
  8452          41.47.64.0/20
  8452          41.47.80.0/20
  8452          41.47.96.0/20
  8452          41.47.120.0/21
  8452          41.47.128.0/21
  8452          41.47.136.0/21
  8452          41.47.144.0/20
  8452          41.47.160.0/20
  8452          41.47.176.0/21
 37168          41.48.0.0/13
 37168          41.48.0.0/14
 37168          41.49.0.0/16
 37168          41.50.0.0/16
 37168          41.52.0.0/14
 33762          41.56.0.0/16
 33762          41.56.192.0/18
 22750          41.57.0.0/18
 22750          41.57.0.0/20
 22750          41.57.16.0/21
 22750          41.57.24.0/24
 22750          41.57.25.0/24
 22750          41.57.27.0/24
 22750          41.57.30.0/24
 22750          41.57.63.0/24
 36986          41.57.64.0/20
 37410          41.57.80.0/24
 37410          41.57.81.0/24
 37410          41.57.82.0/24
 37410          41.57.85.0/24
 37410          41.57.86.0/24
 37410          41.57.87.0/24
 37410          41.57.88.0/24
 36866          41.57.96.0/20
 36866          41.57.96.0/23
 36866          41.57.98.0/23
 36866          41.57.100.0/23
 36866          41.57.101.0/24
 36866          41.57.102.0/23
 36866          41.57.104.0/23
 36866          41.57.106.0/23
 36866          41.57.108.0/23
 36866          41.57.110.0/23
 36866          41.57.111.0/24
 37472          41.57.120.0/22
 37442          41.57.124.0/22
 37442          41.57.124.0/24
 37442          41.57.125.0/24
 37442          41.57.127.0/24
 22750          41.57.128.0/18
 22750          41.57.131.0/24
 22750          41.57.145.0/24
 37103          41.57.192.0/18
 37103          41.57.192.0/19
 37103          41.57.224.0/19
 36923          41.58.0.0/16
 36923          41.58.0.0/20
 36923          41.58.16.0/20
 36923          41.58.32.0/20
 36923          41.58.48.0/20
 36923          41.58.64.0/20
 36923          41.58.80.0/20
 36923          41.58.96.0/20
 36923          41.58.112.0/20
 36923          41.58.128.0/20
 36923          41.58.133.0/24
 36923          41.58.144.0/20
 36923          41.58.160.0/20
 36923          41.58.176.0/20
 36923          41.58.192.0/20
 36923          41.58.208.0/20
 36923          41.58.224.0/20
 36923          41.58.240.0/20
 33765          41.59.0.0/17
 33765          41.59.0.0/22
 33765          41.59.2.0/24
 33765          41.59.28.0/22
 33765          41.59.32.0/22
 23456          41.59.61.0/24
 23456          41.59.251.0/24
 23456          41.59.252.0/22
 23456          41.59.252.0/24
 37146          41.60.0.0/17
 37146          41.60.10.0/23
 37146          41.60.128.0/18
 37146          41.60.192.0/19
 37146          41.60.224.0/19
 36943          41.61.0.0/16
 37532          41.63.0.0/18
 22822          41.63.64.0/18
 37037          41.63.128.0/20
 37037          41.63.144.0/24
 37037          41.63.146.0/24
 37037          41.63.147.0/24
 37037          41.63.148.0/24
 37037          41.63.149.0/24
 37037          41.63.150.0/24
 37037          41.63.151.0/24
 37037          41.63.156.0/24
 37037          41.63.157.0/24
 37037          41.63.158.0/24
 37037          41.63.159.0/24
 36907          41.63.160.0/19
 37009          41.63.192.0/18
 15475          41.64.0.0/15
 15475          41.64.0.0/16
 36992          41.64.198.0/24
 36992          41.64.199.0/24
 36992          41.64.248.0/24
 36992          41.64.251.0/24
 36992          41.65.0.0/16
 36992          41.65.0.0/17
 36992          41.65.0.0/18
 36992          41.65.1.0/24
 36992          41.65.6.0/24
 36992          41.65.21.0/24
 36992          41.65.22.0/24
 36992          41.65.23.0/24
 36992          41.65.64.0/18
 36992          41.65.77.0/24
 36992          41.65.79.0/24
 36992          41.65.165.0/24
 36992          41.65.166.0/24
