APNIC Allocated Address Table
-----------------------------

Origin AS       Network
 45528          1.22.240.0/23
 45528          1.22.240.0/24
 45528          1.22.241.0/24
 45528          1.22.242.0/24
 45528          1.22.243.0/24
 45528          1.22.244.0/22
 45528          1.22.244.0/24
 45528          1.22.245.0/24
 45528          1.22.246.0/24
 45528          1.22.247.0/24
 45528          1.22.248.0/24
 45528          1.22.249.0/24
 45528          1.22.250.0/24
 45528          1.22.251.0/24
 45528          1.22.252.0/23
 45528          1.22.252.0/24
 45528          1.22.253.0/24
 45528          1.22.254.0/24
 45528          1.22.255.0/24
 45528          1.23.0.0/22
 45528          1.23.4.0/24
 45528          1.23.5.0/24
 45528          1.23.6.0/24
 45528          1.23.7.0/24
 45528          1.23.8.0/22
 45528          1.23.10.0/24
 45528          1.23.11.0/24
 45528          1.23.12.0/24
 45528          1.23.13.0/24
 45528          1.23.14.0/24
 45528          1.23.15.0/24
 45528          1.23.16.0/21
 45528          1.23.16.0/24
 45528          1.23.17.0/24
 45528          1.23.18.0/24
 45528          1.23.19.0/24
 45528          1.23.20.0/24
 45528          1.23.21.0/24
 45528          1.23.22.0/24
 45528          1.23.23.0/24
 45528          1.23.24.0/24
 45528          1.23.25.0/24
 45528          1.23.26.0/24
 45528          1.23.27.0/24
 45528          1.23.28.0/24
 45528          1.23.29.0/24
 45528          1.23.30.0/24
 45528          1.23.31.0/24
 45528          1.23.32.0/22
 45528          1.23.32.0/24
 45528          1.23.33.0/24
 45528          1.23.34.0/24
 45528          1.23.35.0/24
 45528          1.23.36.0/22
 45528          1.23.36.0/24
 45528          1.23.37.0/24
 45528          1.23.38.0/24
 45528          1.23.39.0/24
 45528          1.23.40.0/24
 45528          1.23.41.0/24
 45528          1.23.42.0/24
 45528          1.23.43.0/24
 45528          1.23.44.0/24
 45528          1.23.45.0/24
 45528          1.23.46.0/24
 45528          1.23.47.0/24
 45528          1.23.48.0/24
 45528          1.23.49.0/24
 45528          1.23.50.0/24
 45528          1.23.51.0/24
 45528          1.23.52.0/24
 45528          1.23.53.0/24
 45528          1.23.54.0/24
 45528          1.23.55.0/24
 45528          1.23.56.0/24
 45528          1.23.57.0/24
 45528          1.23.60.0/22
 45528          1.23.60.0/24
 45528          1.23.61.0/24
 45528          1.23.62.0/24
 45528          1.23.63.0/24
 45528          1.23.64.0/21
 45528          1.23.64.0/24
 45528          1.23.65.0/24
 45528          1.23.66.0/24
 45528          1.23.67.0/24
 45528          1.23.68.0/24
 45528          1.23.69.0/24
 45528          1.23.70.0/24
 45528          1.23.71.0/24
 45528          1.23.72.0/22
 45528          1.23.72.0/24
 45528          1.23.73.0/24
 45528          1.23.74.0/24
 45528          1.23.75.0/24
 45528          1.23.76.0/23
 45528          1.23.76.0/24
 45528          1.23.77.0/24
 45528          1.23.78.0/23
 45528          1.23.78.0/24
 45528          1.23.79.0/24
 45528          1.23.80.0/24
 45528          1.23.81.0/24
 45528          1.23.82.0/24
 45528          1.23.83.0/24
 45528          1.23.84.0/24
 45528          1.23.85.0/24
 45528          1.23.86.0/24
 45528          1.23.87.0/24
 45528          1.23.88.0/24
 45528          1.23.89.0/24
 45528          1.23.90.0/24
 45528          1.23.91.0/24
 45528          1.23.92.0/24
 45528          1.23.93.0/24
 45528          1.23.94.0/23
 45528          1.23.94.0/24
 45528          1.23.95.0/24
 45528          1.23.96.0/23
 45528          1.23.96.0/24
 45528          1.23.97.0/24
 45528          1.23.98.0/24
 45528          1.23.99.0/24
 45528          1.23.100.0/22
 45528          1.23.100.0/24
 45528          1.23.101.0/24
 45528          1.23.102.0/24
 45528          1.23.103.0/24
 45528          1.23.104.0/22
 45528          1.23.104.0/24
 45528          1.23.105.0/24
 45528          1.23.106.0/24
 45528          1.23.107.0/24
 45528          1.23.108.0/22
 45528          1.23.108.0/24
 45528          1.23.109.0/24
 45528          1.23.110.0/24
 45528          1.23.111.0/24
 45528          1.23.112.0/24
 45528          1.23.113.0/24
 45528          1.23.114.0/24
 45528          1.23.115.0/24
 45528          1.23.116.0/24
 45528          1.23.117.0/24
 45528          1.23.118.0/24
 45528          1.23.119.0/24
 45528          1.23.120.0/21
 45528          1.23.120.0/24
 45528          1.23.121.0/24
 45528          1.23.122.0/24
 45528          1.23.125.0/24
 45528          1.23.126.0/24
 45528          1.23.127.0/24
 45528          1.23.128.0/23
 45528          1.23.128.0/24
 45528          1.23.129.0/24
 45528          1.23.130.0/23
 45528          1.23.130.0/24
 45528          1.23.131.0/24
 45528          1.23.132.0/24
 45528          1.23.133.0/24
 45528          1.23.134.0/23
 45528          1.23.134.0/24
 45528          1.23.135.0/24
 45528          1.23.136.0/22
 45528          1.23.136.0/24
 45528          1.23.137.0/24
 45528          1.23.138.0/24
 45528          1.23.139.0/24
 45528          1.23.140.0/22
 45528          1.23.140.0/24
 45528          1.23.141.0/24
 45528          1.23.142.0/24
 45528          1.23.143.0/24
 45528          1.23.144.0/23
 45528          1.23.144.0/24
 45528          1.23.145.0/24
 45528          1.23.146.0/24
 45528          1.23.147.0/24
 45528          1.23.148.0/22
 45528          1.23.148.0/24
 45528          1.23.149.0/24
 45528          1.23.150.0/24
 45528          1.23.152.0/24
 45528          1.23.153.0/24
 45528          1.23.154.0/24
 45528          1.23.155.0/24
 45528          1.23.156.0/24
 45528          1.23.157.0/24
 45528          1.23.158.0/24
 45528          1.23.159.0/24
 45528          1.23.160.0/23
 45528          1.23.160.0/24
 45528          1.23.161.0/24
 45528          1.23.162.0/24
 45528          1.23.163.0/24
 45528          1.23.164.0/24
 45528          1.23.165.0/24
 45528          1.23.166.0/24
 45528          1.23.167.0/24
 45528          1.23.168.0/22
 45528          1.23.168.0/24
 45528          1.23.169.0/24
 45528          1.23.170.0/24
 45528          1.23.171.0/24
 45528          1.23.172.0/23
 45528          1.23.172.0/24
 45528          1.23.173.0/24
 45528          1.23.174.0/24
 45528          1.23.176.0/23
 45528          1.23.176.0/24
 45528          1.23.177.0/24
 45528          1.23.178.0/23
 45528          1.23.178.0/24
 45528          1.23.179.0/24
 45528          1.23.180.0/23
 45528          1.23.180.0/24
 45528          1.23.181.0/24
 45528          1.23.182.0/24
 45528          1.23.183.0/24
 45528          1.23.184.0/24
 45528          1.23.185.0/24
 45528          1.23.186.0/24
 45528          1.23.187.0/24
 45528          1.23.188.0/24
 45528          1.23.189.0/24
 45528          1.23.190.0/24
 45528          1.23.191.0/24
 45528          1.23.192.0/24
 45528          1.23.193.0/24
 45528          1.23.194.0/23
 45528          1.23.196.0/24
 45528          1.23.197.0/24
 45528          1.23.198.0/24
 45528          1.23.199.0/24
 45528          1.23.200.0/24
 45528          1.23.201.0/24
 45528          1.23.202.0/24
 45528          1.23.203.0/24
 45528          1.23.204.0/24
 45528          1.23.205.0/24
 45528          1.23.206.0/24
 45528          1.23.207.0/24
 45528          1.23.208.0/24
 45528          1.23.209.0/24
 45528          1.23.210.0/24
 45528          1.23.220.0/24
 45528          1.23.221.0/24
 45528          1.23.224.0/21
 45528          1.23.224.0/24
 45528          1.23.225.0/24
 45528          1.23.227.0/24
 45528          1.23.228.0/24
 45528          1.23.229.0/24
 45528          1.23.230.0/24
 45528          1.23.231.0/24
 45528          1.23.232.0/21
 45528          1.23.232.0/24
 45528          1.23.233.0/24
 45528          1.23.234.0/24
 45528          1.23.235.0/24
 45528          1.23.236.0/24
 45528          1.23.239.0/24
 45528          1.23.240.0/24
 45528          1.23.241.0/24
 45528          1.23.242.0/24
 45528          1.23.243.0/24
 45528          1.23.244.0/22
 45528          1.23.244.0/24
 45528          1.23.245.0/24
 45528          1.23.246.0/24
 45528          1.23.248.0/21
 45528          1.23.248.0/24
 45528          1.23.249.0/24
 45528          1.23.250.0/24
 45528          1.23.251.0/24
 45528          1.23.252.0/24
 45528          1.23.253.0/24
 45528          1.23.254.0/24
 45528          1.23.255.0/24
  4837          1.24.0.0/13
  4788          1.32.0.0/17
  4788          1.32.20.0/24
  4788          1.32.21.0/24
  4788          1.32.22.0/24
  4788          1.32.23.0/24
  4788          1.32.24.0/24
  4788          1.32.25.0/24
  4788          1.32.26.0/24
  4788          1.32.27.0/24
  4788          1.32.28.0/24
  4788          1.32.29.0/24
  4788          1.32.30.0/24
  4788          1.32.31.0/24
  4788          1.32.32.0/19
  4788          1.32.33.0/24
  4788          1.32.34.0/24
  4788          1.32.64.0/18
  4788          1.32.109.0/24
  2514          1.33.0.0/16
  3462          1.34.0.0/15
  3462          1.34.0.0/16
  3462          1.35.0.0/16
  4760          1.36.0.0/16
  4760          1.36.0.0/19
  4760          1.36.32.0/19
  4760          1.36.64.0/19
  4760          1.36.96.0/19
  4760          1.36.128.0/19
  4760          1.36.160.0/19
  4760          1.36.192.0/19
  4760          1.36.224.0/19
  4775          1.37.0.0/16
 38266          1.38.0.0/17
 38266          1.38.0.0/23
 38266          1.38.4.0/24
 38266          1.38.11.0/24
 38266          1.38.12.0/22
 38266          1.38.12.0/24
 38266          1.38.16.0/24
 38266          1.38.17.0/24
 38266          1.38.18.0/24
 38266          1.38.19.0/24
 38266          1.38.20.0/24
 38266          1.38.21.0/24
 38266          1.38.22.0/24
 38266          1.38.23.0/24
 38266          1.38.24.0/24
 38266          1.38.25.0/24
 38266          1.38.26.0/24
 38266          1.38.27.0/24
 38266          1.38.28.0/24
 38266          1.38.29.0/24
 38266          1.38.30.0/24
 38266          1.38.31.0/24
 38266          1.38.32.0/19
 38266          1.38.64.0/19
 38266          1.38.160.0/19
 38266          1.38.192.0/20
 38266          1.38.208.0/24
 38266          1.38.209.0/24
 38266          1.38.210.0/24
 38266          1.38.211.0/24
 38266          1.38.212.0/24
 38266          1.38.224.0/20
 38266          1.38.224.0/21
 38266          1.38.232.0/21
 38266          1.39.0.0/22
 38266          1.39.4.0/22
 38266          1.39.8.0/22
 38266          1.39.12.0/22
 38266          1.39.16.0/22
 38266          1.39.20.0/22
 38266          1.39.24.0/22
 38266          1.39.28.0/22
 38266          1.39.32.0/22
 38266          1.39.36.0/22
 38266          1.39.40.0/22
 38266          1.39.44.0/22
 38266          1.39.48.0/22
 38266          1.39.52.0/22
 38266          1.39.56.0/22
 38266          1.39.60.0/22
 38266          1.39.64.0/22
 38266          1.39.68.0/22
 38266          1.39.80.0/22
 38266          1.39.96.0/22
 38266          1.39.100.0/22
 38266          1.39.112.0/22
 38266          1.39.136.0/22
  4804          1.40.0.0/14
  4804          1.40.0.0/19
  4804          1.41.0.0/19
  4804          1.42.0.0/19
  4804          1.43.0.0/19
  7474          1.44.0.0/16
  4804          1.44.0.0/21
  4804          1.44.8.0/21
  4804          1.44.16.0/21
  4804          1.44.24.0/21
  4804          1.44.32.0/21
  4804          1.44.40.0/21
  4804          1.44.48.0/21
  4804          1.44.56.0/21
  4804          1.44.64.0/21
  4804          1.44.72.0/21
  4804          1.44.80.0/21
  4804          1.44.88.0/21
  4804          1.44.96.0/21
  4804          1.44.104.0/21
  4804          1.44.112.0/21
  4804          1.44.120.0/21
  4804          1.44.128.0/21
  4804          1.44.136.0/21
  4804          1.44.144.0/21
  4804          1.44.152.0/21
  4804          1.44.160.0/21
  4804          1.44.168.0/21
  4804          1.44.176.0/21
  4804          1.44.184.0/21
  4804          1.44.192.0/21
  4804          1.44.200.0/21
  4804          1.44.208.0/21
  4804          1.44.216.0/21
  4804          1.44.224.0/21
  4804          1.44.232.0/21
  4804          1.44.240.0/21
  4804          1.44.248.0/21
 45083          1.45.0.0/16
 45083          1.45.16.0/22
 45083          1.45.20.0/22
 45083          1.45.24.0/22
 45083          1.45.28.0/22
 45083          1.45.32.0/22
 45083          1.45.36.0/22
 45083          1.45.40.0/22
 45083          1.45.44.0/22
 45083          1.45.48.0/22
 45083          1.45.52.0/22
 45083          1.45.56.0/22
 45083          1.45.60.0/22
 45083          1.45.64.0/22
 45083          1.45.68.0/22
 45083          1.45.72.0/22
 45083          1.45.76.0/22
